NUM_POZO,NOM_POZO,CVE_ACUI,NOM_ACUIF,ELEV_TN,LATITUD,LONGITUD,PNE_RECIENTE_M,PNE_MIN_M,PNE_MAX_M,CONDICION_FREATICA,PNE_2008,PNE_2009,PNE_2010,PNE_2011,PNE_2012,PNE_2013,PNE_2014
179,CNA_11,0201,TIJUANA,27.62,32.532952,-117.045416,7.49,7.49,8.73,FREATICO SOMERO-MODERADO (5-10m),,8.73,,,,7.49,
180,CNA_13,0201,TIJUANA,21.68,32.533715,-117.03135,5.45,5.45,5.45,FREATICO SOMERO-MODERADO (5-10m),,5.45,,,,,
181,CNA_14,0201,TIJUANA,101.77,32.515291,-117.074806,104.75,104.75,104.75,FREATICO PROFUNDO / MESA (> 25m),,104.75,,,,,
182,CNA_15,0201,TIJUANA,135.43,32.506565,-117.063387,152.82,152.3,152.82,FREATICO PROFUNDO / MESA (> 25m),,152.3,,,,152.82,
183,CNA_17,0201,TIJUANA,125.47,32.488347,-117.011123,10.6,7.31,10.6,FREATICO MEDIO (10-25m),,7.31,,,,10.6,
184,CNA_20,0201,TIJUANA,68.13,32.506622,-117.021559,22.31,22.31,22.31,FREATICO MEDIO (10-25m),,22.31,,,,,
185,CNA_37,0201,TIJUANA,56.04,32.518488,-116.933895,10.47,7.78,10.47,FREATICO MEDIO (10-25m),,7.78,,,,10.47,
186,CNA_41,0201,TIJUANA,113.68,32.45024,-116.873057,29.31,29.31,29.31,FREATICO PROFUNDO / MESA (> 25m),,29.31,,,,,
187,CNA_42,0201,TIJUANA,133.49,32.431934,-116.884847,37.05,21.06,37.05,FREATICO PROFUNDO / MESA (> 25m),,21.06,,,,37.05,
188,CNA_43,0201,TIJUANA,74.89,32.457075,-116.918998,38.95,38.95,43.28,FREATICO PROFUNDO / MESA (> 25m),,43.28,,,,38.95,
189,CNA_45,0201,TIJUANA,110.7,32.450765,-116.938016,24.44,24.44,24.44,FREATICO MEDIO (10-25m),,24.44,,,,,
190,CNA_46,0201,TIJUANA,84.96,32.461126,-116.909042,74.69,74.69,74.69,FREATICO PROFUNDO / MESA (> 25m),,74.69,,,,,
191,CNA_47,0201,TIJUANA,52.27,32.503886,-116.969183,18.01,18.01,18.01,FREATICO MEDIO (10-25m),,18.01,,,,,
192,CNA_54,0201,TIJUANA,31.07,32.514325,-116.997899,6.21,6.21,6.21,FREATICO SOMERO-MODERADO (5-10m),,6.21,,,,,
